""


Machine Learning Lab Dr. Raman Bane 2022-23 be computer vii,Not Satisfactory,Satisfactory,Good,Very Good,Excellent,Total Marks,Out of,Percentage
Whether teaching is relevant to syllabus?,0,0,0,0,1,5,5,100.0
Whether doubts are cleared properly?,0,0,0,0,1,5,5,100.0
Whether Notes are provided properly?,0,0,0,0,1,5,5,100.0
Whether voice is clear?,0,0,0,0,1,5,5,100.0
Whether language is simple?,0,0,0,0,1,5,5,100.0
Whether elearning resources are used properly?,0,0,0,0,1,5,5,100.0
Overall impression of teacher,0,0,0,0,1,5,5,100.0
Total,0,0,0,0,7,35,35,100.0




Big Data Analysis Lab Prof. Dattatraya Londhe 2022-23 be computer vii,Not Satisfactory,Satisfactory,Good,Very Good,Excellent,Total Marks,Out of,Percentage
Whether teaching is relevant to syllabus?,0,0,0,0,1,5,5,100.0
Whether doubts are cleared properly?,0,0,0,0,1,5,5,100.0
Whether Notes are provided properly?,0,0,0,0,1,5,5,100.0
Whether voice is clear?,0,0,0,0,1,5,5,100.0
Whether language is simple?,0,0,0,0,1,5,5,100.0
Whether elearning resources are used properly?,0,0,0,0,1,5,5,100.0
Overall impression of teacher,0,0,0,0,1,5,5,100.0
Total,0,0,0,0,7,35,35,100.0




Natural Language Processing Lab Dr. Raman Bane 2022-23 be computer vii,Not Satisfactory,Satisfactory,Good,Very Good,Excellent,Total Marks,Out of,Percentage
Whether teaching is relevant to syllabus?,0,0,0,0,1,5,5,100.0
Whether doubts are cleared properly?,0,0,0,0,1,5,5,100.0
Whether Notes are provided properly?,0,0,0,0,1,5,5,100.0
Whether voice is clear?,0,0,0,0,1,5,5,100.0
Whether language is simple?,0,0,0,0,1,5,5,100.0
Whether elearning resources are used properly?,0,0,0,0,1,5,5,100.0
Overall impression of teacher,0,0,0,0,1,5,5,100.0
Total,0,0,0,0,7,35,35,100.0




Information Retrieval Lab Prof. Mahesh Khandke 2022-23 be computer vii,Not Satisfactory,Satisfactory,Good,Very Good,Excellent,Total Marks,Out of,Percentage
Whether teaching is relevant to syllabus?,0,0,0,0,1,5,5,100.0
Whether doubts are cleared properly?,0,0,0,0,1,5,5,100.0
Whether Notes are provided properly?,0,0,0,0,1,5,5,100.0
Whether voice is clear?,0,0,0,0,1,5,5,100.0
Whether language is simple?,0,0,0,0,1,5,5,100.0
Whether elearning resources are used properly?,0,0,0,0,1,5,5,100.0
Overall impression of teacher,0,0,0,0,1,5,5,100.0
Total,0,0,0,0,7,35,35,100.0




Digital Business Management Lab Prof. ABC 2022-23 be computer vii,Not Satisfactory,Satisfactory,Good,Very Good,Excellent,Total Marks,Out of,Percentage
Whether teaching is relevant to syllabus?,0,0,0,0,1,5,5,100.0
Whether doubts are cleared properly?,0,0,0,0,1,5,5,100.0
Whether Notes are provided properly?,0,0,0,0,1,5,5,100.0
Whether voice is clear?,0,0,0,0,1,5,5,100.0
Whether language is simple?,0,0,0,0,1,5,5,100.0
Whether elearning resources are used properly?,0,0,0,0,1,5,5,100.0
Overall impression of teacher,0,0,0,0,1,5,5,100.0
Total,0,0,0,0,7,35,35,100.0


