""
Engineering Mathematics - IV Prof. Vishwanath Gurav 2022-23,Not Satisfactory,Satisfactory,Good,Very Good,Excellent,Total Marks,Out of,Percentage
Whether teaching is relevant to syllabus?,0,0,0,1,0,4,5,80.0
Whether doubts are cleared properly?,0,0,1,0,0,3,5,60.0
Whether Notes are provided properly?,0,1,0,0,0,2,5,40.0
Whether voice is clear?,1,0,0,0,0,1,5,20.0
Whether language is simple?,0,0,0,0,1,5,5,100.0
Whether elearning resources are used properly?,0,0,0,1,0,4,5,80.0
Overall impression of teacher,0,0,1,0,0,3,5,60.0
Total,1,1,2,2,1,22,35,62.857142857142854


Analysis of Algorithm Prof. Kranti Gajmal 2022-23,Not Satisfactory,Satisfactory,Good,Very Good,Excellent,Total Marks,Out of,Percentage
Whether teaching is relevant to syllabus?,0,0,0,1,0,4,5,80.0
Whether doubts are cleared properly?,0,0,1,0,0,3,5,60.0
Whether Notes are provided properly?,0,1,0,0,0,2,5,40.0
Whether voice is clear?,1,0,0,0,0,1,5,20.0
Whether language is simple?,0,0,0,0,1,5,5,100.0
Whether elearning resources are used properly?,0,0,0,1,0,4,5,80.0
Overall impression of teacher,0,0,1,0,0,3,5,60.0
Total,1,1,2,2,1,22,35,62.857142857142854


Database Management System Dr. Anirudh Mangore 2022-23,Not Satisfactory,Satisfactory,Good,Very Good,Excellent,Total Marks,Out of,Percentage
Whether teaching is relevant to syllabus?,0,0,0,1,0,4,5,80.0
Whether doubts are cleared properly?,0,0,1,0,0,3,5,60.0
Whether Notes are provided properly?,0,1,0,0,0,2,5,40.0
Whether voice is clear?,1,0,0,0,0,1,5,20.0
Whether language is simple?,0,0,0,0,1,5,5,100.0
Whether elearning resources are used properly?,0,0,0,1,0,4,5,80.0
Overall impression of teacher,0,0,1,0,0,3,5,60.0
Total,1,1,2,2,1,22,35,62.857142857142854


Operating System Prof. Rajkumar Pawar 2022-23,Not Satisfactory,Satisfactory,Good,Very Good,Excellent,Total Marks,Out of,Percentage
Whether teaching is relevant to syllabus?,0,0,0,1,0,4,5,80.0
Whether doubts are cleared properly?,0,0,1,0,0,3,5,60.0
Whether Notes are provided properly?,0,1,0,0,0,2,5,40.0
Whether voice is clear?,1,0,0,0,0,1,5,20.0
Whether language is simple?,0,0,0,0,1,5,5,100.0
Whether elearning resources are used properly?,0,0,0,1,0,4,5,80.0
Overall impression of teacher,0,0,1,0,0,3,5,60.0
Total,1,1,2,2,1,22,35,62.857142857142854


Microprocessor< Prof. Pratik Oak 2022-23,Not Satisfactory,Satisfactory,Good,Very Good,Excellent,Total Marks,Out of,Percentage
Whether teaching is relevant to syllabus?,0,0,0,1,0,4,5,80.0
Whether doubts are cleared properly?,0,0,1,0,0,3,5,60.0
Whether Notes are provided properly?,0,1,0,0,0,2,5,40.0
Whether voice is clear?,1,0,0,0,0,1,5,20.0
Whether language is simple?,0,0,0,0,1,5,5,100.0
Whether elearning resources are used properly?,0,0,0,1,0,4,5,80.0
Overall impression of teacher,0,0,1,0,0,3,5,60.0
Total,1,1,2,2,1,22,35,62.857142857142854


